AQ Station Name;Air Quality Station Area;Air Quality Station Type;StandardsDescription;Country1;Unit Of Airpollution Level;Year Of Statistics;Air Pollution Class;Sampling Point;Year shapes;Data Aggregation Process Label;Air Pollutant;Air Pollution Level;Latitude;Longitude;Round Air pollution level
Kirkeveien;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0011A_6001_23;2020;Annual mean / 1 calendar year;PM2.5;7,135;59,9323;10,7246;7
Kladno-stred mesta;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Czechia;ug/m3;2022;3;SPO.CZ_SKLMA_PM2_5_41050;2020;Annual mean / 1 calendar year;PM2.5;12,098;50,1439;14,1018;12
Klagenfurt Sterneckstra�e;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;2;SPO.02.KA71.64585.6001.1;2020;Annual mean / 1 calendar year;PM2.5;10,109;46,6266;14,2991;10
Klagenfurt V�lkermarkter Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.02.KA21.64523.6001.1;2020;Annual mean / 1 calendar year;PM2.5;11,694;46,6256;14,3181;12
Kleinwallstadt/Hofstetter Stra�e;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBY004_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,041;49,8694;9,1715;10
Klingenthal;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN024_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;6,932;50,3548;12,4687;7
Klosterhaugen;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0120A_6001_2903;2020;Annual mean / 1 calendar year;PM2.5;6,049;60,3959;5,3127;6
Klosterneuburg B14 (Parkplatz Bahnhof Klosterneuburg-Kierling);suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;2;SPO.03.0599.67771.6001.1;2020;Annual mean / 1 calendar year;PM2.5;10,208;48,3082;16,3279;10
Knarrdalstranda;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0118A_6001_2727;2020;Annual mean / 1 calendar year;PM2.5;9,789;59,1335;9,6219;10
Ko?cierzyna, ul. Targowa;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0558A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;15,545;54,1207;17,9759;16
Koblenz-Friedrich-Ebert-Ring;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DERP024_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,989;50,3544;7,5966;10
Kollumerwaard-Hooge Zuidwal;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Netherlands;ug/m3;2022;2;SPO-NL00934_06001_100;2020;Annual mean / 1 calendar year;PM2.5;8,641;53,3304;6,2768;9
K�ln Clevischer Ring;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DENW211_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,421;50,9628;7,0046;10
K�ln Turiner Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DENW212_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,493;50,9473;6,9577;9
Konstancin-Jeziorna, ul. Wierzejewskiego;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0673A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;14,74;52,0806;21,1112;15
Konstanz;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBW052_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;9,539;47,6644;9,1693;10
K�pavogur Dalsm�ri;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Iceland;ug/m3;2022;1;SPO-IS0037A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;3,688;64,105;-21,889;4
Koper;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovenia;ug/m3;2022;3;SPO-SI0038A_06001_101;2020;Annual mean / 1 calendar year;PM2.5;12,365;45,543;13,7135;12
KOPRIVNICA-2;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Croatia;ug/m3;2022;4;HR_DOC_TYPE_D_SPO_1015;2020;Annual mean / 1 calendar year;PM2.5;22,702;46,1613;16,8432;23
Kosetice;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Czechia;ug/m3;2022;2;SPO.CZ_JKOSA_PM2_5_867316;2020;Annual mean / 1 calendar year;PM2.5;9,62;49,5734;15,0803;10
Kosjeric;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Serbia;ug/m3;2022;5;SPO-RS0052A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;28,933;44,0029;19,9052;29
Kourou Gaston Monnerville Brady;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR40006_6001;2020;Annual mean / 1 calendar year;PM2.5;7,038;5,1643;-52,6465;7
Krak�w, ul. Bulwarowa;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0039A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;18,219;50,0693;20,0535;18
Kranj;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovenia;ug/m3;2022;3;SPO-SI0073A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;15,586;46,2418;14,3622;16
Kransen;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0112A_6001_1222;2020;Annual mean / 1 calendar year;PM2.5;7,733;59,4335;10,6618;8
Krefeld (Hafen);suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DENW116_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;14,675;51,3426;6,6702;15
Krosno, ul. Klet�wki;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0413A_6001_002;2020;Annual mean / 1 calendar year;PM2.5;12,744;49,6902;21,7497;13
Kuopio Savilahti KYS;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Finland;ug/m3;2022;1;SPO-FI00955_06001_100;2020;Annual mean / 1 calendar year;PM2.5;4,892;62,8955;27,6473;5
KUTINA-2;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Croatia;ug/m3;2022;4;HR_DOC_TYPE_D_SPO_1011;2020;Annual mean / 1 calendar year;PM2.5;23,924;45,4856;16,7685;24
Kutno, ul. 1 Maja;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0763A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;16,991;52,2319;19,3537;17
L'ALCORA-PM;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_12005004_9_M;2020;Annual mean / 1 calendar year;PM2.5;16,075;40,0686;-0,2064;16
l'Hospitalet de Llobregat (av. del Torrent Gornal);urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_08101001_9_M;2020;Annual mean / 1 calendar year;PM2.5;11,974;41,3705;2,115;12
la Bisbal d'Empord� (ajuntament);suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_17022002_9_M;2020;Annual mean / 1 calendar year;PM2.5;12,019;41,9593;3,0374;12
LA CIG�E�A;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_26089001_9_M;2020;Annual mean / 1 calendar year;PM2.5;7,118;42,464;-2,428;7
La Coulonche MERA;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR21050_6001;2020;Annual mean / 1 calendar year;PM2.5;7,41;48,645;-0,4583;7
LA FELGUERA;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_33031030_9_49;2020;Annual mean / 1 calendar year;PM2.5;8,98;43,3067;-5,6897;9
LA GRAMA-BRE�A ALTA;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_38008001_9_47;2020;Annual mean / 1 calendar year;PM2.5;10,143;28,6677;-17,7756;10
LA GRELA;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_15030021_9_47;2020;Annual mean / 1 calendar year;PM2.5;10,059;43,3542;-8,4249;10
LA HIDALGA-ARAFO;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_38004001_9_49;2020;Annual mean / 1 calendar year;PM2.5;10,59;28,3372;-16,3997;11
LA L�NEA;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_11022005_9_49;2020;Annual mean / 1 calendar year;PM2.5;8,027;36,1594;-5,3484;8
LA LOMA-TELDE;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_35026004_9_47;2020;Annual mean / 1 calendar year;PM2.5;7,266;28,0263;-15,4147;7
LA MEGRETAIS;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR23003_6001;2020;Annual mean / 1 calendar year;PM2.5;9,721;47,3227;-2,0392;10
La Pallice3 LR;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR09203_6001;2020;Annual mean / 1 calendar year;PM2.5;9,029;46,1616;-1,2112;9
La Porta;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1953A_6001_BETA_2009-01-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;14,14;40,1681;18,1736;14
LA RANILLA;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_41091010_9_47;2020;Annual mean / 1 calendar year;PM2.5;11,18;37,3843;-5,9596;11
LA RUBIA II;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_47186031_9_49;2020;Annual mean / 1 calendar year;PM2.5;10,262;41,63;-4,7406;10
la S�nia (repetidor);rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_43044003_9_M;2020;Annual mean / 1 calendar year;PM2.5;6,609;40,643;0,2884;7
LA TARDIERE;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR23124_6001;2020;Annual mean / 1 calendar year;PM2.5;6,412;46,6567;-0,7437;6
LA VALL D'UIX�;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_12126003_9_M;2020;Annual mean / 1 calendar year;PM2.5;14,202;39,8236;-0,2444;14
LA1 Laces;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT0499A_6001_nephelometry_beta_2007-12-28_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;13,225;46,6195;10,8591;13
La_Source-CNRS;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR34029_6001;2020;Annual mean / 1 calendar year;PM2.5;9,089;47,8378;1,9447;9
Laaer Berg;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;2;SPO.09.LAA.67353.6001.1;2020;Annual mean / 1 calendar year;PM2.5;9,306;48,161;16,3929;9
Lamentin;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR39009_6001;2020;Annual mean / 1 calendar year;PM2.5;7,839;14,6107;-61,0026;8
Laranjeiro;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Portugal;ug/m3;2022;2;SPO-PT03083_06001_100;2020;Annual mean / 1 calendar year;PM2.5;6,758;38,6636;-9,1578;7
LAS GALANAS -SS GOMERA;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_38036002_9_49;2020;Annual mean / 1 calendar year;PM2.5;12,151;28,0901;-17,1181;12
Lasarte-Oria;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_20902001_9_49;2020;Annual mean / 1 calendar year;PM2.5;9,419;43,2687;-2,0191;9
LATINA SCALO;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1184A_6001_BETA_2010-06-25_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;11,645;41,5314;12,9466;12
Lauenburg-Murjahnstra�e;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESH058_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;8,38;53,3823;10,5405;8
LAZA;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_32039001_9_49;2020;Annual mean / 1 calendar year;PM2.5;6,976;42,0616;-7,4089;7
Le Grazie;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1728A_6001_BETA_2005-02-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;13,78;42,5522;12,6517;14
Le Havre Lafaurie-montant;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR05089_6001;2020;Annual mean / 1 calendar year;PM2.5;11,717;49,5002;0,1109;12
Le Havre ville-haute;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR05090_6001;2020;Annual mean / 1 calendar year;PM2.5;10,553;49,5147;0,1006;11
LE PONTET;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR03084_6001;2020;Annual mean / 1 calendar year;PM2.5;13,557;43,9601;4,8567;14
Leblanc;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR34032_6001;2020;Annual mean / 1 calendar year;PM2.5;8,94;47,0828;2,4053;9
LECCE - S. M. Cerrate;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;2;SPO.IT1665A_6001_BETA_2015-02-17_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;9,976;40,4589;18,1161;10
LECCO VIA SORA;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT1826A_6001_BETA_2022-01-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;13,982;45,8494;9,3958;14
LEGAN�S;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;2;SP_28074007_9_49;2020;Annual mean / 1 calendar year;PM2.5;10,097;40,3397;-3,7545;10
Legionowo, ul. Zegrzy?ska;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Poland;ug/m3;2022;3;SPO_PL0129A_6001_001;2020;Annual mean / 1 calendar year;PM2.5;18,733;52,4076;20,9559;19
Leibnitz Lastenstra�e;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.06.197.65540.6001.1;2020;Annual mean / 1 calendar year;PM2.5;13,768;46,7783;15,5406;14
Lein� (ACEA) - Grande Torino;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT2117A_6001_BETA_2006-08-01_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;14,901;45,1763;7,7116;15
Leipzig-Mitte;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN025_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;10,412;51,3442;12,3772;10
Leipzig-West;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN059_PM2_dataGroup2;2020;Annual mean / 1 calendar year;PM2.5;8,404;51,3179;12,2974;8
Leiret;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0119A_6001_2702;2020;Annual mean / 1 calendar year;PM2.5;7,115;60,8836;11,5593;7
Leizen;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEMV024_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;8,697;53,3963;12,4639;9
Lensmannsdalen;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0061A_6001_813;2020;Annual mean / 1 calendar year;PM2.5;7,608;59,1593;9,6357;8
Lenzing Hauptstra�e;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;2;SPO.04.S432.67683.6001.1;2020;Annual mean / 1 calendar year;PM2.5;9,148;47,9739;13,6089;9
LEON BLUM;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR23110_6001;2020;Annual mean / 1 calendar year;PM2.5;8,72;47,2641;-2,2499;9
Leonardo da Vinci;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT2066A_6001_BETA_2009-06-20_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;14,878;43,3583;12,5572;15
LEONESSA;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;2;SPO.IT0989A_6001_BETA_2010-06-19_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;7,566;42,5726;12,9621;8
LEPANTO;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Spain;ug/m3;2022;3;SP_14021007_9_49;2020;Annual mean / 1 calendar year;PM2.5;13,401;37,8926;-4,7623;13
Lepp�vaara 4;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Finland;ug/m3;2022;2;SPO-FI00841_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,663;60,2202;24,8113;6
LES COUETS;urban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR23239_6001;2020;Annual mean / 1 calendar year;PM2.5;9,584;47,1859;-1,5915;10
Leverkusen Gustav-Heinemann-Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DENW355_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;9,442;51,0315;7,0109;9
Liberec-Rochlice;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Czechia;ug/m3;2022;3;SPO.CZ_LLILA_PM2_5_1367196;2020;Annual mean / 1 calendar year;PM2.5;12,203;50,7551;15,07;12
LIBERTINI;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Italy;ug/m3;2022;3;SPO.IT2044A_6001_BETA_2015-07-16_00:00:00;2020;Annual mean / 1 calendar year;PM2.5;13,559;40,3519;18,1767;14
Liebsch�tzberg;rural;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DESN130_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;8,331;51,3526;13,1322;8
Liepaja, Ganibu street;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Latvia;ug/m3;2022;3;SPO-LV000L4_06001_100;2020;Annual mean / 1 calendar year;PM2.5;11,112;56,4963;21,0144;11
Liesing - Carlberger-Gasse Gewerbegebiet;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;2;SPO.09.LIES.67354.6001.1;2020;Annual mean / 1 calendar year;PM2.5;10,094;48,1412;16,3013;10
Lille Leeds;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;3;SPO-FR11007_6001;2020;Annual mean / 1 calendar year;PM2.5;10,6;50,6408;3,0748;11
Lillehammer barnehage;suburban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Norway;ug/m3;2022;2;SPO_NO0075A_6001_614;2020;Annual mean / 1 calendar year;PM2.5;5,85;61,1209;10,4656;6
Limburg Schiede;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;3;SPO.DE_DEHE131_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,508;50,3864;8,0599;11
LIMOGES - BERLAND;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR35027_6001;2020;Annual mean / 1 calendar year;PM2.5;8,243;45,8422;1,2597;8
Lindau (Bodensee)/Friedrichshafener Stra�e;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Germany;ug/m3;2022;2;SPO.DE_DEBY035_PM2_dataGroup1;2020;Annual mean / 1 calendar year;PM2.5;10,277;47,5575;9,6889;10
Linja-autoasema;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Finland;ug/m3;2022;1;SPO-FI00721_06001_100;2020;Annual mean / 1 calendar year;PM2.5;4,042;61,4931;23,7694;4
Link�ping Hamngatan 10;suburban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Sweden;ug/m3;2022;1;SPO-SE338685_06001_100;2020;Annual mean / 1 calendar year;PM2.5;5,236;58,4124;15,6301;5
Linz 24er Turm A7;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.04.S415.65739.6001.1;2020;Annual mean / 1 calendar year;PM2.5;11,102;48,3233;14,2978;11
Linz Neue Welt;suburban;industrial;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.04.S416.64344.6001.1;2020;Annual mean / 1 calendar year;PM2.5;12,788;48,2733;14,3148;13
Linz R�merberg B139;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.04.S431.64526.6001.1;2020;Annual mean / 1 calendar year;PM2.5;12,314;48,303;14,2822;12
Linz Stadtpark, No�bergerstra�e;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Austria;ug/m3;2022;3;SPO.04.S184.63740.6001.1;2020;Annual mean / 1 calendar year;PM2.5;11,952;48,3061;14,2975;12
Lisieux;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";France;ug/m3;2022;2;SPO-FR21021_6001;2020;Annual mean / 1 calendar year;PM2.5;8,934;49,1472;0,2272;9
LJ Celovska;urban;traffic;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovenia;ug/m3;2022;3;SPO-SI0072A_06001_100;2020;Annual mean / 1 calendar year;PM2.5;15,073;46,0721;14,4871;15
Ljubljana Bezigrad;urban;background;"There is no EU standard value for this pollutant and reporting metric.
There is no WHO standard value for this pollutant and reporting metric.";Slovenia;ug/m3;2022;3;SPO-SI0003A_06001_101;2020;Annual mean / 1 calendar year;PM2.5;13,511;46,0655;14,5127;14
